Referee,date,location,Winner,title_bout,weight_class,Genre,R_fighter,B_fighter,R_age,B_age,ID_peleas,Year
Mario Yamasaki,2013-05-25,"Las Vegas, Nevada, USA",Red,0,Lightweight,Male,Khabib Nurmagomedov,Abel Trujillo,24.0,29.0,3729,2013
Chris Tognoni,2013-05-25,"Las Vegas, Nevada, USA",Red,0,Featherweight,Male,Jeremy Stephens,Estevan Payan,27.0,31.0,3730,2013
Herb Dean,2013-05-25,"Las Vegas, Nevada, USA",Blue,0,Bantamweight,Male,Brian Bowles,George Roop,32.0,31.0,3731,2013
Steve Mazzagatti,2013-05-25,"Las Vegas, Nevada, USA",Red,0,Welterweight,Male,Stephen Thompson,Nah-Shon Burrell,30.0,23.0,3732,2013
Mario Yamasaki,2013-05-18,"Jaragua do Sul, Santa Catarina, Brazil",Red,0,Welterweight,Male,Paulo Thiago,Michel Prazeres,32.0,31.0,3733,2013
Kevin Mulhall,2013-05-18,"Jaragua do Sul, Santa Catarina, Brazil",Red,0,Lightweight,Male,Rafael Dos Anjos,Evan Dunham,28.0,31.0,3734,2013
Leon Roberts,2013-05-18,"Jaragua do Sul, Santa Catarina, Brazil",Red,0,Error,Male,Vitor Belfort,Luke Rockhold,36.0,28.0,3735,2013
Mario Yamasaki,2013-05-18,"Jaragua do Sul, Santa Catarina, Brazil",Red,0,Middleweight,Male,Jacare Souza,Chris Camozzi,33.0,26.0,3736,2013
Leon Roberts,2013-05-18,"Jaragua do Sul, Santa Catarina, Brazil",Red,0,Peso_Pactado,Male,Rafael Natal,Joao Zeferino,30.0,27.0,3737,2013
Leon Roberts,2013-05-18,"Jaragua do Sul, Santa Catarina, Brazil",Red,0,Lightweight,Male,Gleison Tibau,John Cholish,29.0,29.0,3738,2013
Mario Yamasaki,2013-05-18,"Jaragua do Sul, Santa Catarina, Brazil",Blue,0,Peso_Pactado,Male,Hacran Dias,Nik Lentz,28.0,28.0,3739,2013
Kevin Mulhall,2013-05-18,"Jaragua do Sul, Santa Catarina, Brazil",Red,0,Lightweight,Male,Francisco Trinaldo,Mike Rio,34.0,31.0,3740,2013
Kevin Mulhall,2013-05-18,"Jaragua do Sul, Santa Catarina, Brazil",Red,0,Peso_Pactado,Male,Iuri Alcantara,Iliarde Santos,32.0,32.0,3741,2013
Kevin Mulhall,2013-05-18,"Jaragua do Sul, Santa Catarina, Brazil",Red,0,Flyweight,Male,Jussier Formiga,Chris Cariaso,28.0,31.0,3742,2013
Mario Yamasaki,2013-05-18,"Jaragua do Sul, Santa Catarina, Brazil",Red,0,Featherweight,Male,Lucas Martins,Jeremy Larsen,24.0,28.0,3743,2013
Mario Yamasaki,2013-05-18,"Jaragua do Sul, Santa Catarina, Brazil",Red,0,Peso_Pactado,Male,John Lineker,Azamat Gashimov,22.0,23.0,3744,2013
Leon Roberts,2013-05-18,"Jaragua do Sul, Santa Catarina, Brazil",Red,0,Light heavyweight,Male,Fabio Maldonado,Roger Hollett,33.0,34.0,3745,2013
Dan Miragliotta,2013-04-27,"Newark, New Jersey, USA",Red,0,Lightweight,Male,Rustam Khabilov,Yancy Medeiros,26.0,25.0,3746,2013
Keith Peterson,2013-04-27,"Newark, New Jersey, USA",Red,1,Light heavyweight,Male,Jon Jones,Chael Sonnen,25.0,36.0,3747,2013
Dan Miragliotta,2013-04-27,"Newark, New Jersey, USA",Red,0,Light heavyweight,Male,Phil Davis,Vinny Magalhaes,28.0,28.0,3748,2013
Kevin Mulhall,2013-04-27,"Newark, New Jersey, USA",Blue,0,Peso_Pactado,Male,Gian Villante,Ovince Saint Preux,27.0,30.0,3749,2013
Gasper Oliver,2013-04-27,"Newark, New Jersey, USA",Red,0,Bantamweight,Women,Sara McMann,Sheila Gaff,32.0,23.0,3750,2013
Kevin Mulhall,2013-04-27,"Newark, New Jersey, USA",Red,0,Peso_Pactado,Male,Roy Nelson,Cheick Kongo,36.0,37.0,3751,2013
Herb Dean,2013-04-27,"Newark, New Jersey, USA",Red,0,Middleweight,Male,Michael Bisping,Alan Belcher,34.0,29.0,3752,2013
Herb Dean,2013-04-27,"Newark, New Jersey, USA",Draw,0,Lightweight,Male,Jim Miller,Pat Healy,29.0,29.0,3753,2013
Gasper Oliver,2013-04-27,"Newark, New Jersey, USA",Red,0,Error,Male,Steven Siler,Kurt Holobaugh,26.0,26.0,3754,2013
Keith Peterson,2013-04-27,"Newark, New Jersey, USA",Red,0,Bantamweight,Male,Bryan Caraway,Johnny Bedford,28.0,30.0,3755,2013
Dan Miragliotta,2013-04-27,"Newark, New Jersey, USA",Blue,0,Error,Male,Leonard Garcia,Cody McKenzie,33.0,25.0,3756,2013
Herb Dean,2013-04-20,"San Jose, California, USA",Red,0,Featherweight,Male,Chad Mendes,Darren Elkins,27.0,28.0,3757,2013
John McCarthy,2013-04-20,"San Jose, California, USA",Red,1,Peso_Pactado,Male,Benson Henderson,Gilbert Melendez,29.0,31.0,3758,2013
Mike Beltran,2013-04-20,"San Jose, California, USA",Red,0,Peso_Pactado,Male,Francis Carmont,Lorenz Larkin,31.0,26.0,3759,2013
John McCarthy,2013-04-20,"San Jose, California, USA",Blue,0,Peso_Pactado,Male,Ramsey Nijem,Myles Jury,25.0,24.0,3760,2013
Mike Beltran,2013-04-20,"San Jose, California, USA",Blue,0,Peso_Pactado,Male,Nate Diaz,Josh Thomson,28.0,34.0,3761,2013
Herb Dean,2013-04-20,"San Jose, California, USA",Blue,0,Peso_Pactado,Male,Frank Mir,Daniel Cormier,33.0,34.0,3762,2013
Herb Dean,2013-04-20,"San Jose, California, USA",Red,0,Flyweight,Male,Joseph Benavidez,Darren Uyenoyama,28.0,33.0,3763,2013
John McCarthy,2013-04-20,"San Jose, California, USA",Red,0,Welterweight,Male,Matt Brown,Jordan Mein,32.0,23.0,3764,2013
Mike Beltran,2013-04-20,"San Jose, California, USA",Blue,0,Welterweight,Male,Tim Means,Jorge Masvidal,29.0,28.0,3765,2013
John McCarthy,2013-04-20,"San Jose, California, USA",Red,0,Error,Male,TJ Dillashaw,Hugo Viana,27.0,30.0,3766,2013
Herb Dean,2013-04-20,"San Jose, California, USA",Red,0,Lightweight,Male,Anthony Njokuani,Roger Bowling,33.0,30.0,3767,2013
Mike Beltran,2013-04-20,"San Jose, California, USA",Blue,0,Middleweight,Male,Clifford Starks,Yoel Romero,31.0,35.0,3768,2013
Steve Mazzagatti,2013-04-13,"Las Vegas, Nevada, USA",Red,0,Middleweight,Male,Robert McDaniel,Gilbert Smith,29.0,31.0,3769,2013
Herb Dean,2013-04-13,"Las Vegas, Nevada, USA",Blue,1,Middleweight,Male,Uriah Hall,Kelvin Gastelum,28.0,21.0,3770,2013
Kim Winslow,2013-04-13,"Las Vegas, Nevada, USA",Red,0,Middleweight,Male,Luke Barnatt,Collin Hart,24.0,23.0,3771,2013
Herb Dean,2013-04-13,"Las Vegas, Nevada, USA",Red,0,Middleweight,Male,Josh Samman,Kevin Casey,25.0,31.0,3772,2013
Steve Mazzagatti,2013-04-13,"Las Vegas, Nevada, USA",Red,0,Bantamweight,Male,Urijah Faber,Scott Jorgensen,33.0,30.0,3773,2013
Chris Tognoni,2013-04-13,"Las Vegas, Nevada, USA",Red,0,Peso_Pactado,Male,Travis Browne,Gabriel Gonzaga,30.0,33.0,3774,2013
Kim Winslow,2013-04-13,"Las Vegas, Nevada, USA",Blue,0,Error,Women,Miesha Tate,Cat Zingano,26.0,30.0,3775,2013
Chris Tognoni,2013-04-13,"Las Vegas, Nevada, USA",Red,0,Middleweight,Male,Dylan Andrews,Jimmy Quinlan,33.0,26.0,3776,2013
Chris Tognoni,2013-04-13,"Las Vegas, Nevada, USA",Blue,0,Featherweight,Male,Justin Lawrence,Daniel Pineda,22.0,27.0,3777,2013
Steve Mazzagatti,2013-04-13,"Las Vegas, Nevada, USA",Blue,0,Error,Male,Bristol Marunde,Clint Hester,30.0,26.0,3778,2013
Kim Winslow,2013-04-13,"Las Vegas, Nevada, USA",Blue,0,Featherweight,Male,Sam Sicilia,Maximo Blanco,27.0,29.0,3779,2013
Herb Dean,2013-04-13,"Las Vegas, Nevada, USA",Red,0,Featherweight,Male,Cole Miller,Bart Palaszewski,28.0,29.0,3780,2013
Leon Roberts,2013-04-06,"Stockholm, Sweden",Blue,0,Lightweight,Male,Ryan Couture,Ross Pearson,30.0,28.0,3781,2013
Marko Gyllenland,2013-04-06,"Stockholm, Sweden",Red,0,Lightweight,Male,Reza Madadi,Michael Johnson,34.0,26.0,3782,2013
Marc Goddard,2013-04-06,"Stockholm, Sweden",Red,0,Peso_Pactado,Male,Matt Mitrione,Philip De Fries,34.0,26.0,3783,2013
Marko Gyllenland,2013-04-06,"Stockholm, Sweden",Red,0,Featherweight,Male,Diego Brandao,Pablo Garza,25.0,29.0,3784,2013
Marc Goddard,2013-04-06,"Stockholm, Sweden",Red,0,Error,Male,Gegard Mousasi,Ilir Latifi,27.0,29.0,3785,2013
Marc Goddard,2013-04-06,"Stockholm, Sweden",Red,0,Peso_Pactado,Male,Tor Troeng,Adam Cella,30.0,27.0,3786,2013
Leon Roberts,2013-04-06,"Stockholm, Sweden",Red,0,Bantamweight,Male,Brad Pickett,Mike Easton,34.0,29.0,3787,2013
Kristian Hacklou,2013-04-06,"Stockholm, Sweden",Red,0,Featherweight,Male,Akira Corassani,Robert Peralta,30.0,27.0,3788,2013
Leon Roberts,2013-04-06,"Stockholm, Sweden",Blue,0,Welterweight,Male,Chris Spang,Adlan Amagov,25.0,26.0,3789,2013
Robert Sundel,2013-04-06,"Stockholm, Sweden",Blue,0,Error,Male,Marcus Brimage,Conor McGregor,28.0,24.0,3790,2013
Kristian Hacklou,2013-04-06,"Stockholm, Sweden",Blue,0,Welterweight,Male,Ben Alloway,Ryan LaFlare,32.0,29.0,3791,2013
Marko Gyllenland,2013-04-06,"Stockholm, Sweden",Blue,0,Error,Male,Michael Kuiper,Tom Lawlor,23.0,29.0,3792,2013
Robert Sundel,2013-04-06,"Stockholm, Sweden",Red,0,Peso_Pactado,Male,Papy Abedi,Besam Yousef,34.0,28.0,3793,2013
Philippe Chartier,2013-03-16,"Montreal, Quebec, Canada",Red,0,Error,Male,Jake Ellenberger,Nate Marquardt,27.0,33.0,3794,2013
Yves Lavigne,2013-03-16,"Montreal, Quebec, Canada",Blue,0,Featherweight,Male,Antonio Carvalho,Darren Elkins,33.0,28.0,3795,2013
No especificado,2013-03-16,"Montreal, Quebec, Canada",Red,0,Lightweight,Male,Mike Ricci,Colin Fletcher,26.0,30.0,3796,2013
Philippe Chartier,2013-03-16,"Montreal, Quebec, Canada",Red,0,Welterweight,Male,Patrick Cote,Bobby Voelker,33.0,33.0,3797,2013
Marc Goddard,2013-03-16,"Montreal, Quebec, Canada",Blue,0,Error,Male,Carlos Condit,Johny Hendricks,28.0,29.0,3798,2013
Marc-Andre Cote,2013-03-16,"Montreal, Quebec, Canada",Blue,0,Peso_Pactado,Male,Dan Miller,Jordan Mein,31.0,23.0,3799,2013
Yves Lavigne,2013-03-16,"Montreal, Quebec, Canada",Red,1,Middleweight,Male,Georges St-Pierre,Nick Diaz,31.0,29.0,3800,2013
Marc-Andre Cote,2013-03-16,"Montreal, Quebec, Canada",Blue,0,Middleweight,Male,Nick Ring,Chris Camozzi,34.0,26.0,3801,2013
Yves Lavigne,2013-03-16,"Montreal, Quebec, Canada",Red,0,Error,Male,TJ Dillashaw,Issei Tamura,27.0,29.0,3802,2013
Marc-Andre Cote,2013-03-16,"Montreal, Quebec, Canada",Red,0,Peso_Pactado,Male,Rick Story,Quinn Mulhern,28.0,28.0,3803,2013
Marc Goddard,2013-03-16,"Montreal, Quebec, Canada",Red,0,Lightweight,Male,John Makdessi,Daron Cruickshank,27.0,27.0,3804,2013
Philippe Chartier,2013-03-16,"Montreal, Quebec, Canada",Red,0,Bantamweight,Male,George Roop,Reuben Duran,31.0,29.0,3805,2013
Marc Goddard,2013-03-02,"Saitama, Japan",Red,0,Bantamweight,Male,Takeya Mizugaki,Bryan Caraway,29.0,28.0,3806,2013
Herb Dean,2013-03-02,"Saitama, Japan",Red,0,Error,Male,Yushin Okami,Hector Lombard,31.0,35.0,3807,2013
Thomas Fan,2013-03-02,"Saitama, Japan",Blue,0,Middleweight,Male,Riki Fukuda,Brad Tavares,32.0,25.0,3808,2013
Marc Goddard,2013-03-02,"Saitama, Japan",Blue,0,Error,Male,Takanori Gomi,Diego Sanchez,34.0,31.0,3809,2013
Herb Dean,2013-03-02,"Saitama, Japan",Red,0,Welterweight,Male,Dong Hyun Kim,Siyar Bahadurzada,31.0,28.0,3810,2013
Marc Goddard,2013-03-02,"Saitama, Japan",Red,0,Light heavyweight,Male,Wanderlei Silva,Brian Stann,36.0,32.0,3811,2013
Marc Goddard,2013-03-02,"Saitama, Japan",Blue,0,Peso_Pactado,Male,Mizuto Hirota,Rani Yahya,31.0,28.0,3812,2013
Herb Dean,2013-03-02,"Saitama, Japan",Blue,0,Heavyweight,Male,Stefan Struve,Mark Hunt,25.0,38.0,3813,2013
Thomas Fan,2013-03-02,"Saitama, Japan",Blue,0,Lightweight,Male,Cristiano Marcello,Kazuki Tokudome,35.0,25.0,3814,2013
Herb Dean,2013-03-02,"Saitama, Japan",Draw,0,Peso_Pactado,Male,Alex Caceres,Kyung Ho Kang,24.0,25.0,3815,2013
Thomas Fan,2013-03-02,"Saitama, Japan",Blue,0,Peso_Pactado,Male,Marcelo Guimaraes,Hyun Gyu Lim,29.0,28.0,3816,2013
John McCarthy,2013-02-23,"Anaheim, California, USA",Red,1,Peso_Pactado,Women,Ronda Rousey,Liz Carmouche,26.0,29.0,3817,2013
Jason Herzog,2013-02-23,"Anaheim, California, USA",Red,0,Error,Male,Urijah Faber,Ivan Menjivar,33.0,30.0,3818,2013
Herb Dean,2013-02-23,"Anaheim, California, USA",Red,0,Middleweight,Male,Lyoto Machida,Dan Henderson,34.0,42.0,3819,2013
John McCarthy,2013-02-23,"Anaheim, California, USA",Red,0,Peso_Pactado,Male,Michael Chiesa,Anton Kuivanen,25.0,28.0,3820,2013
John McCarthy,2013-02-23,"Anaheim, California, USA",Red,0,Welterweight,Male,Court McGee,Josh Neer,28.0,29.0,3821,2013
Jason Herzog,2013-02-23,"Anaheim, California, USA",Red,0,Error,Male,Brendan Schaub,Lavar Johnson,29.0,35.0,3822,2013
Herb Dean,2013-02-23,"Anaheim, California, USA",Blue,0,Welterweight,Male,Josh Koscheck,Robbie Lawler,35.0,30.0,3823,2013
Herb Dean,2013-02-23,"Anaheim, California, USA",Red,0,Peso_Pactado,Male,Dennis Bermudez,Matt Grice,26.0,31.0,3824,2013
Jason Herzog,2013-02-23,"Anaheim, California, USA",Red,0,Lightweight,Male,Sam Stout,Caros Fodor,28.0,29.0,3825,2013
John McCarthy,2013-02-23,"Anaheim, California, USA",Red,0,Welterweight,Male,Kenny Robertson,Brock Jardine,29.0,27.0,3826,2013
Jason Herzog,2013-02-23,"Anaheim, California, USA",Red,0,Welterweight,Male,Nah-Shon Burrell,Yuri Villefort,23.0,21.0,3827,2013
Herb Dean,2013-02-23,"Anaheim, California, USA",Blue,0,Welterweight,Male,Jon Manley,Neil Magny,26.0,25.0,3828,2013
Kevin Mulhall,2013-02-16,"London, England, United Kingdom",Red,0,Error,Male,Cub Swanson,Dustin Poirier,29.0,24.0,3829,2013
Marc Goddard,2013-02-16,"London, England, United Kingdom",Red,1,Peso_Pactado,Male,Renan Barao,Michael McDonald,26.0,22.0,3830,2013
Neil Hall,2013-02-16,"London, England, United Kingdom",Blue,0,Lightweight,Male,Paul Sass,Danny Castillo,24.0,33.0,3831,2013
Marc Goddard,2013-02-16,"London, England, United Kingdom",Blue,0,Lightweight,Male,Terry Etim,Renee Forte,27.0,25.0,3832,2013
Leon Roberts,2013-02-16,"London, England, United Kingdom",Red,0,Light heavyweight,Male,Jimi Manuwa,Cyrille Diabate,32.0,39.0,3833,2013
Leon Roberts,2013-02-16,"London, England, United Kingdom",Red,0,Error,Male,James Te Huna,Ryan Jimmo,31.0,31.0,3834,2013
Marc Goddard,2013-02-16,"London, England, United Kingdom",Red,0,Welterweight,Male,Gunnar Nelson,Jorge Santiago,24.0,32.0,3835,2013
Kevin Mulhall,2013-02-16,"London, England, United Kingdom",Draw,0,Welterweight,Male,Che Mills,Matthew Riddle,30.0,27.0,3836,2013
Marc Goddard,2013-02-16,"London, England, United Kingdom",Red,0,Featherweight,Male,Andy Ogle,Josh Grispi,24.0,24.0,3837,2013
Leon Roberts,2013-02-16,"London, England, United Kingdom",Red,0,Error,Male,Vaughan Lee,Motonobu Tezuka,30.0,25.0,3838,2013
Kevin Mulhall,2013-02-16,"London, England, United Kingdom",Red,0,Error,Male,Tom Watson,Stanislav Nedkov,30.0,31.0,3839,2013
Neil Hall,2013-02-16,"London, England, United Kingdom",Red,0,Flyweight,Male,Phil Harris,Ulysses Gomez,29.0,29.0,3840,2013
Herb Dean,2013-02-02,"Las Vegas, Nevada, USA",Red,0,Welterweight,Male,Tyron Woodley,Jay Hieron,30.0,36.0,3841,2013
Steve Mazzagatti,2013-02-02,"Las Vegas, Nevada, USA",Red,1,Bantamweight,Male,Jose Aldo,Frankie Edgar,26.0,31.0,3842,2013
Yves Lavigne,2013-02-02,"Las Vegas, Nevada, USA",Blue,0,Light heavyweight,Male,Rashad Evans,Rogerio Nogueira,33.0,36.0,3843,2013
Kim Winslow,2013-02-02,"Las Vegas, Nevada, USA",Blue,0,Welterweight,Male,Jon Fitch,Demian Maia,34.0,35.0,3844,2013
Steve Mazzagatti,2013-02-02,"Las Vegas, Nevada, USA",Red,0,Flyweight,Male,Joseph Benavidez,Ian McCall,28.0,28.0,3845,2013
Kim Winslow,2013-02-02,"Las Vegas, Nevada, USA",Blue,0,Lightweight,Male,Jacob Volkmann,Bobby Green,32.0,26.0,3846,2013
Herb Dean,2013-02-02,"Las Vegas, Nevada, USA",Blue,0,Error,Male,Alistair Overeem,Antonio Silva,32.0,33.0,3847,2013
Yves Lavigne,2013-02-02,"Las Vegas, Nevada, USA",Blue,0,Lightweight,Male,Gleison Tibau,Evan Dunham,29.0,31.0,3848,2013
Herb Dean,2013-02-02,"Las Vegas, Nevada, USA",Blue,0,Error,Male,Chico Camus,Dustin Kimura,28.0,23.0,3849,2013
Kim Winslow,2013-02-02,"Las Vegas, Nevada, USA",Blue,0,Bantamweight,Male,Edwin Figueroa,Francisco Rivera,28.0,31.0,3850,2013
Yves Lavigne,2013-02-02,"Las Vegas, Nevada, USA",Blue,0,Lightweight,Male,Yves Edwards,Isaac Vallie-Flagg,36.0,34.0,3851,2013
Robert Madrigal,2013-01-26,"Chicago, Illinois, USA",Red,0,Lightweight,Male,Anthony Pettis,Donald Cerrone,25.0,29.0,3852,2013
Herb Dean,2013-01-26,"Chicago, Illinois, USA",Blue,0,Welterweight,Male,Mike Stumpf,Pascal Krauss,26.0,25.0,3853,2013
Robert Madrigal,2013-01-26,"Chicago, Illinois, USA",Red,0,Peso_Pactado,Male,Clay Guida,Hatsu Hioki,31.0,29.0,3854,2013
John McCarthy,2013-01-26,"Chicago, Illinois, USA",Red,0,Light heavyweight,Male,Ryan Bader,Vladimir Matyushenko,29.0,42.0,3855,2013
John McCarthy,2013-01-26,"Chicago, Illinois, USA",Red,0,Lightweight,Male,TJ Grant,Matt Wiman,28.0,29.0,3856,2013
Herb Dean,2013-01-26,"Chicago, Illinois, USA",Blue,0,Light heavyweight,Male,Quinton Jackson,Glover Teixeira,34.0,33.0,3857,2013
John McCarthy,2013-01-26,"Chicago, Illinois, USA",Blue,0,Peso_Pactado,Male,Erik Koch,Ricardo Lamas,24.0,30.0,3858,2013
John McCarthy,2013-01-26,"Chicago, Illinois, USA",Red,1,Error,Male,Demetrious Johnson,John Dodson,26.0,28.0,3859,2013
Herb Dean,2013-01-26,"Chicago, Illinois, USA",Blue,0,Error,Male,Mike Russow,Shawn Jordan,36.0,28.0,3860,2013
Robert Madrigal,2013-01-26,"Chicago, Illinois, USA",Red,0,Peso_Pactado,Male,Rafael Natal,Sean Spencer,30.0,25.0,3861,2013
Herb Dean,2013-01-26,"Chicago, Illinois, USA",Blue,0,Welterweight,Male,Simeon Thoresen,David Mitchell,28.0,33.0,3862,2013
Mario Yamasaki,2013-01-19,"Sao Paulo, Brazil",Red,0,Featherweight,Male,Edson Barboza,Lucas Martins,26.0,24.0,3863,2013
Marc Goddard,2013-01-19,"Sao Paulo, Brazil",Red,0,Error,Male,Gabriel Gonzaga,Ben Rothwell,33.0,31.0,3864,2013
Mario Yamasaki,2013-01-19,"Sao Paulo, Brazil",Red,0,Featherweight,Male,Godofredo Pepey,Milton Vieira,25.0,34.0,3865,2013
Dan Miragliotta,2013-01-19,"Sao Paulo, Brazil",Red,0,Middleweight,Male,Vitor Belfort,Michael Bisping,35.0,33.0,3866,2013
Marc Goddard,2013-01-19,"Sao Paulo, Brazil",Red,0,Peso_Pactado,Male,Ronny Markes,Andrew Craig,24.0,27.0,3867,2013
Mario Yamasaki,2013-01-19,"Sao Paulo, Brazil",Blue,0,Middleweight,Male,Daniel Sarafian,CB Dollaway,30.0,29.0,3868,2013
Dan Miragliotta,2013-01-19,"Sao Paulo, Brazil",Blue,0,Featherweight,Male,Diego Nunes,Nik Lentz,30.0,28.0,3869,2013
Dan Miragliotta,2013-01-19,"Sao Paulo, Brazil",Blue,0,Error,Male,Thiago Tavares,Khabib Nurmagomedov,28.0,24.0,3870,2013
Marc Goddard,2013-01-19,"Sao Paulo, Brazil",Red,0,Lightweight,Male,Francisco Trinaldo,CJ Keith,34.0,26.0,3871,2013
Mario Yamasaki,2013-01-19,"Sao Paulo, Brazil",Blue,0,Peso_Pactado,Male,Wagner Prado,Ildemar Alcantara,26.0,30.0,3872,2013
Dan Miragliotta,2013-01-19,"Sao Paulo, Brazil",Draw,0,Bantamweight,Male,Iuri Alcantara,Pedro Nobre,32.0,26.0,3873,2013
Chris Tognoni,2012-12-29,"Las Vegas, Nevada, USA",Blue,0,Lightweight,Male,Melvin Guillard,Jamie Varner,29.0,28.0,3874,2012
Yves Lavigne,2012-12-29,"Las Vegas, Nevada, USA",Blue,0,Bantamweight,Male,Brad Pickett,Eddie Wineland,34.0,28.0,3875,2012
Yves Lavigne,2012-12-29,"Las Vegas, Nevada, USA",Red,0,Lightweight,Male,Jim Miller,Joe Lauzon,29.0,28.0,3876,2012
Kim Winslow,2012-12-29,"Las Vegas, Nevada, USA",Red,0,Bantamweight,Male,Erik Perez,Byron Bloodworth,23.0,29.0,3877,2012
Kim Winslow,2012-12-29,"Las Vegas, Nevada, USA",Blue,0,Middleweight,Male,Tim Boetsch,Constantinos Philippou,31.0,33.0,3878,2012
Herb Dean,2012-12-29,"Las Vegas, Nevada, USA",Blue,1,Error,Male,Junior Dos Santos,Cain Velasquez,28.0,30.0,3879,2012
Herb Dean,2012-12-29,"Las Vegas, Nevada, USA",Blue,0,Middleweight,Male,Chris Leben,Derek Brunson,32.0,28.0,3880,2012
Chris Tognoni,2012-12-29,"Las Vegas, Nevada, USA",Red,0,Error,Male,Yushin Okami,Alan Belcher,31.0,28.0,3881,2012
Herb Dean,2012-12-29,"Las Vegas, Nevada, USA",Blue,0,Peso_Pactado,Male,Michael Johnson,Myles Jury,26.0,24.0,3882,2012
Kim Winslow,2012-12-29,"Las Vegas, Nevada, USA",Blue,0,Featherweight,Male,Leonard Garcia,Max Holloway,33.0,21.0,3883,2012
Yves Lavigne,2012-12-29,"Las Vegas, Nevada, USA",Blue,0,Error,Male,Philip De Fries,Todd Duffee,26.0,27.0,3884,2012
Chris Tognoni,2012-12-29,"Las Vegas, Nevada, USA",Blue,0,Flyweight,Male,Chris Cariaso,John Moraga,31.0,28.0,3885,2012
Herb Dean,2012-12-15,"Las Vegas, Nevada, USA",Red,0,Error,Male,Roy Nelson,Matt Mitrione,36.0,34.0,3886,2012
Steve Mazzagatti,2012-12-15,"Las Vegas, Nevada, USA",Red,1,Lightweight,Male,Colton Smith,Mike Ricci,25.0,26.0,3887,2012
Herb Dean,2012-12-15,"Las Vegas, Nevada, USA",Red,0,Error,Male,TJ Waldburger,Nick Catone,24.0,31.0,3888,2012
Herb Dean,2012-12-15,"Las Vegas, Nevada, USA",Red,0,Peso_Pactado,Male,Dustin Poirier,Jonathan Brookins,23.0,27.0,3889,2012
Kim Winslow,2012-12-15,"Las Vegas, Nevada, USA",Red,0,Peso_Pactado,Male,Johnny Bedford,Marcos Vinicius,29.0,33.0,3890,2012
Steve Mazzagatti,2012-12-15,"Las Vegas, Nevada, USA",Red,0,Welterweight,Male,Mike Pyle,James Head,37.0,28.0,3891,2012
Kim Winslow,2012-12-15,"Las Vegas, Nevada, USA",Red,0,Error,Male,Pat Barry,Shane del Rosario,33.0,29.0,3892,2012
Steve Mazzagatti,2012-12-15,"Las Vegas, Nevada, USA",Blue,0,Bantamweight,Male,Reuben Duran,Hugo Viana,29.0,30.0,3893,2012
Chris Tognoni,2012-12-15,"Las Vegas, Nevada, USA",Blue,0,Lightweight,Male,Vinc Pichel,Rustam Khabilov,30.0,26.0,3894,2012
Chris Tognoni,2012-12-15,"Las Vegas, Nevada, USA",Blue,0,Peso_Pactado,Male,Jared Papazian,Tim Elliott,24.0,25.0,3895,2012
Kim Winslow,2012-12-15,"Las Vegas, Nevada, USA",Red,0,Lightweight,Male,Mike Rio,John Cofer,31.0,28.0,3896,2012
John Sharp,2012-12-14,"Gold Coast, Queensland, Australia",Blue,1,Lightweight,Male,Colin Fletcher,Norman Parke,29.0,25.0,3897,2012
Steve Perceval,2012-12-14,"Gold Coast, Queensland, Australia",Red,1,Peso_Pactado,Male,Robert Whittaker,Brad Scott,21.0,23.0,3898,2012
Steve Perceval,2012-12-14,"Gold Coast, Queensland, Australia",Red,0,Welterweight,Male,Ben Alloway,Manuel Rodriguez,31.0,27.0,3899,2012
Marc Goddard,2012-12-14,"Gold Coast, Queensland, Australia",Red,0,Welterweight,Male,Mike Pierce,Seth Baczynski,32.0,31.0,3900,2012
Marc Goddard,2012-12-14,"Gold Coast, Queensland, Australia",Red,0,Peso_Pactado,Male,Hector Lombard,Rousimar Palhares,34.0,32.0,3901,2012
Marc Goddard,2012-12-14,"Gold Coast, Queensland, Australia",Blue,0,Lightweight,Male,George Sotiropoulos,Ross Pearson,35.0,28.0,3902,2012
John Sharp,2012-12-14,"Gold Coast, Queensland, Australia",Draw,0,Peso_Pactado,Male,Igor Pokrajac,Joey Beltran,33.0,31.0,3903,2012
Steve Perceval,2012-12-14,"Gold Coast, Queensland, Australia",Red,0,Featherweight,Male,Chad Mendes,Yaotzin Meza,27.0,31.0,3904,2012
John Sharp,2012-12-14,"Gold Coast, Queensland, Australia",Blue,0,Featherweight,Male,Brendan Loughnane,Mike Wilkinson,23.0,25.0,3905,2012
Marc Goddard,2012-12-14,"Gold Coast, Queensland, Australia",Blue,0,Light heavyweight,Male,Nick Penner,Cody Donovan,32.0,31.0,3906,2012
Steve Newport,2012-12-08,"Seattle, Washington, USA",Red,0,Bantamweight,Male,Raphael Assuncao,Mike Easton,30.0,28.0,3907,2012
Dan Miragliotta,2012-12-08,"Seattle, Washington, USA",Red,0,Lightweight,Male,Ramsey Nijem,Joe Proctor,24.0,27.0,3908,2012
Anthony Hamlett,2012-12-08,"Seattle, Washington, USA",Red,0,Lightweight,Male,Daron Cruickshank,Henry Martinez,27.0,29.0,3909,2012
Dan Miragliotta,2012-12-08,"Seattle, Washington, USA",Blue,0,Light heavyweight,Male,Mauricio Rua,Alexander Gustafsson,31.0,25.0,3910,2012
Herb Dean,2012-12-08,"Seattle, Washington, USA",Blue,0,Error,Male,BJ Penn,Rory MacDonald,33.0,23.0,3911,2012
