nombre,weight_class,Genre,Fight,Year,total_rounds_fought,total_title_bouts,current_win_streak,current_lose_streak,longest_win_streak,wins,losses,draw,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,Stance,ID_peleador
Misha Cirkunov,Light heavyweight,Male,2016-12-10,2016,8,0,4,0,4,4,1,0,0,0,0,1,3,0,Orthodox,2269
Leon Edwards,Welterweight,Male,2021-03-13,2021,38,0,0,1,8,10,2,0,0,1,6,2,1,0,Southpaw,2048
Leon Edwards,Welterweight,Male,2019-03-16,2019,38,0,0,1,8,10,2,0,0,1,6,2,1,0,Southpaw,2048
Leon Edwards,Welterweight,Male,2018-03-17,2018,38,0,0,1,8,10,2,0,0,1,6,2,1,0,Southpaw,2048
Leon Edwards,Welterweight,Male,2017-09-02,2017,38,0,0,1,8,10,2,0,0,1,6,2,1,0,Southpaw,2048
Leon Edwards,Welterweight,Male,2017-03-18,2017,38,0,0,1,8,10,2,0,0,1,6,2,1,0,Southpaw,2048
Leon Edwards,Welterweight,Male,2016-10-08,2016,38,0,0,1,8,10,2,0,0,1,6,2,1,0,Southpaw,2048
Leon Edwards,Welterweight,Male,2016-05-08,2016,38,0,0,1,8,10,2,0,0,1,6,2,1,0,Southpaw,2048
Leon Edwards,Welterweight,Male,2015-07-18,2015,38,0,0,1,8,10,2,0,0,1,6,2,1,0,Southpaw,2048
Leon Edwards,Welterweight,Male,2015-12-19,2015,7,0,0,1,2,2,1,0,0,0,1,1,0,0,Southpaw,2048
Leon Edwards,Welterweight,Male,2015-04-11,2015,7,0,0,1,2,2,1,0,0,0,1,1,0,0,Southpaw,2048
Leon Edwards,Welterweight,Male,2014-11-08,2014,7,0,0,1,2,2,1,0,0,0,1,1,0,0,Southpaw,2048
Leon Edwards,Error,Male,2019-07-20,2019,33,0,0,1,7,9,2,0,0,1,5,2,1,0,Southpaw,2048
Leon Edwards,Error,Male,2018-06-23,2018,33,0,0,1,7,9,2,0,0,1,5,2,1,0,Southpaw,2048
Charles Jourdain,Featherweight,Male,2021-03-13,2021,11,0,0,1,1,1,3,0,0,0,0,1,0,0,Switch,1860
Charles Jourdain,Error,Male,2020-10-03,2020,8,0,0,1,1,1,2,0,0,0,0,1,0,0,Switch,1860
Charles Jourdain,Featherweight,Male,2020-06-13,2020,5,0,0,1,1,1,1,0,0,0,0,1,0,0,Switch,1860
Charles Jourdain,Featherweight,Male,2019-12-21,2019,5,0,0,1,1,1,1,0,0,0,0,1,0,0,Switch,1860
Charles Jourdain,Peso_Pactado,Male,2019-05-18,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Switch,1860
Eryk Anders,Middleweight,Male,2021-03-13,2021,28,0,2,0,2,5,5,0,0,1,1,3,0,0,Southpaw,2136
Eryk Anders,Middleweight,Male,2020-05-16,2020,28,0,2,0,2,5,5,0,0,1,1,3,0,0,Southpaw,2136
Eryk Anders,Middleweight,Male,2019-10-12,2019,28,0,2,0,2,5,5,0,0,1,1,3,0,0,Southpaw,2136
Eryk Anders,Middleweight,Male,2018-08-25,2018,28,0,2,0,2,5,5,0,0,1,1,3,0,0,Southpaw,2136
Eryk Anders,Middleweight,Male,2017-12-09,2017,28,0,2,0,2,5,5,0,0,1,1,3,0,0,Southpaw,2136
Eryk Anders,Error,Male,2019-06-29,2019,21,0,2,0,2,3,4,0,0,0,1,2,0,0,Southpaw,2136
Eryk Anders,Error,Male,2019-04-13,2019,21,0,2,0,2,3,4,0,0,0,1,2,0,0,Southpaw,2136
Eryk Anders,Middleweight,Male,2018-12-08,2018,15,0,2,0,2,3,2,0,0,0,1,2,0,0,Southpaw,2136
Eryk Anders,Middleweight,Male,2018-02-03,2018,15,0,2,0,2,3,2,0,0,0,1,2,0,0,Southpaw,2136
Eryk Anders,Middleweight,Male,2017-07-22,2017,15,0,2,0,2,3,2,0,0,0,1,2,0,0,Southpaw,2136
Eryk Anders,Peso_Pactado,Male,2018-09-22,2018,12,0,2,0,2,3,1,0,0,0,1,2,0,0,Southpaw,2136
Angela Hill,Strawweight,Women,2021-03-13,2021,45,0,1,0,3,7,9,0,0,0,5,1,0,1,Orthodox,1767
Angela Hill,Strawweight,Women,2019-04-27,2019,45,0,1,0,3,7,9,0,0,0,5,1,0,1,Orthodox,1767
Angela Hill,Strawweight,Women,2017-11-11,2017,45,0,1,0,3,7,9,0,0,0,5,1,0,1,Orthodox,1767
Angela Hill,Strawweight,Women,2017-07-07,2017,45,0,1,0,3,7,9,0,0,0,5,1,0,1,Orthodox,1767
Angela Hill,Strawweight,Women,2020-09-12,2020,40,0,1,0,3,7,8,0,0,0,5,1,0,1,Orthodox,1767
Angela Hill,Strawweight,Women,2020-05-16,2020,40,0,1,0,3,7,8,0,0,0,5,1,0,1,Orthodox,1767
Angela Hill,Strawweight,Women,2020-02-22,2020,40,0,1,0,3,7,8,0,0,0,5,1,0,1,Orthodox,1767
Angela Hill,Strawweight,Women,2020-01-25,2020,40,0,1,0,3,7,8,0,0,0,5,1,0,1,Orthodox,1767
Angela Hill,Strawweight,Women,2019-09-21,2019,40,0,1,0,3,7,8,0,0,0,5,1,0,1,Orthodox,1767
Angela Hill,Strawweight,Women,2019-06-08,2019,40,0,1,0,3,7,8,0,0,0,5,1,0,1,Orthodox,1767
Angela Hill,Strawweight,Women,2019-03-23,2019,40,0,1,0,3,7,8,0,0,0,5,1,0,1,Orthodox,1767
Angela Hill,Strawweight,Women,2017-02-04,2017,40,0,1,0,3,7,8,0,0,0,5,1,0,1,Orthodox,1767
Angela Hill,Strawweight,Women,2015-10-03,2015,40,0,1,0,3,7,8,0,0,0,5,1,0,1,Orthodox,1767
Angela Hill,Strawweight,Women,2015-06-13,2015,40,0,1,0,3,7,8,0,0,0,5,1,0,1,Orthodox,1767
Angela Hill,Strawweight,Women,2014-12-12,2014,40,0,1,0,3,7,8,0,0,0,5,1,0,1,Orthodox,1767
Angela Hill,Peso_Pactado,Women,2018-08-25,2018,19,0,1,0,1,3,4,0,0,0,3,0,0,0,Orthodox,1767
Angela Hill,Peso_Pactado,Women,2018-02-24,2018,19,0,1,0,1,3,4,0,0,0,3,0,0,0,Orthodox,1767
Jonathan Martinez,Bantamweight,Male,2021-03-13,2021,18,0,0,1,2,4,2,0,0,0,2,2,0,0,Southpaw,1717
Jonathan Martinez,Bantamweight,Male,2020-08-01,2020,12,0,0,1,2,2,2,0,0,0,1,1,0,0,Southpaw,1717
Jonathan Martinez,Bantamweight,Male,2020-02-08,2020,12,0,0,1,2,2,2,0,0,0,1,1,0,0,Southpaw,1717
Jonathan Martinez,Bantamweight,Male,2019-07-13,2019,12,0,0,1,2,2,2,0,0,0,1,1,0,0,Southpaw,1717
Jonathan Martinez,Bantamweight,Male,2019-02-09,2019,12,0,0,1,2,2,2,0,0,0,1,1,0,0,Southpaw,1717
Jonathan Martinez,Bantamweight,Male,2018-10-27,2018,12,0,0,1,2,2,2,0,0,0,1,1,0,0,Southpaw,1717
Jonathan Martinez,Peso_Pactado,Male,2020-10-17,2020,15,0,0,1,2,3,2,0,0,0,1,2,0,0,Southpaw,1717
Dan Ige,Featherweight,Male,2021-03-13,2021,22,0,0,1,6,6,2,0,0,2,2,1,1,0,Orthodox,1833
Dan Ige,Featherweight,Male,2020-05-16,2020,22,0,0,1,6,6,2,0,0,2,2,1,1,0,Orthodox,1833
Dan Ige,Featherweight,Male,2018-12-15,2018,22,0,0,1,6,6,2,0,0,2,2,1,1,0,Orthodox,1833
Dan Ige,Featherweight,Male,2018-01-20,2018,22,0,0,1,6,6,2,0,0,2,2,1,1,0,Orthodox,1833
Dan Ige,Error,Male,2019-06-22,2019,8,0,0,1,3,3,1,0,0,0,1,1,1,0,Orthodox,1833
Dan Ige,Featherweight,Male,2020-07-15,2020,17,0,0,1,6,6,1,0,0,2,2,1,1,0,Orthodox,1833
Dan Ige,Featherweight,Male,2020-02-08,2020,17,0,0,1,6,6,1,0,0,2,2,1,1,0,Orthodox,1833
Dan Ige,Featherweight,Male,2019-03-16,2019,17,0,0,1,6,6,1,0,0,2,2,1,1,0,Orthodox,1833
Dan Ige,Featherweight,Male,2018-06-09,2018,17,0,0,1,6,6,1,0,0,2,2,1,1,0,Orthodox,1833
Nasrat Haqparast,Lightweight,Male,2021-03-13,2021,15,0,0,1,3,4,2,0,0,0,3,1,0,0,Southpaw,1942
Nasrat Haqparast,Lightweight,Male,2020-08-08,2020,15,0,0,1,3,4,2,0,0,0,3,1,0,0,Southpaw,1942
Nasrat Haqparast,Lightweight,Male,2018-07-22,2018,15,0,0,1,3,4,2,0,0,0,3,1,0,0,Southpaw,1942
