Name,ID
Joaquin Buckley,1734
Santiago Ponzinibbio,2152
Max Holloway,1843
Sarah Moras,1885
Jacob Kilburn,1959
Marlon Moraes,2073
Sijara Eubanks,1747
Deron Winn,1907
Stephen Thompson,2368
Jose Aldo,1842
Anthony Pettis,2100
Marcin Tybura,1730
Michel Pereira,1920
Gillian Robertson,1857
Jimmy Flick,125
Tafon Nchukwi,126
Christos Giagos,2076
Renato Moicano,2123
Kevin Holland,1522
Mackenzie Dern,2246
Tony Ferguson,2403
Deiveson Figueiredo,1909
Junior Dos Santos,1930
Gavin Tucker,1532
Cub Swanson,2232
Tecia Torres,2195
Chase Hooper,1865
Gabriel Benitez,2274
Roman Dolidze,1516
Ilia Topuria,1731
Louis Smolka,2150
Gian Villante,2324
Ovince Saint Preux,1883
Matt Wiman,1960
Jack Hermansson,2090
Ashlee Evans-Smith,2242
Jonathan Pearce,1988
Miguel Baeza,1879
Josh Parisian,149
Anthony Smith,2077
Spike Carlyle,1875
Martin Day,1595
Luke Sanders,2118
Gina Mazany,1863
Brandon Moreno,1645
Katlyn Chookagian,1925
Antonina Shevchenko,1873
Valentina Shevchenko,2308
Mauricio Rua,3025
Mike Perry,1948
Alan Jouban,2249
Daniel Rodriguez,1917
Louis Cosce,163
Kyle Daukaus,1850
Ashley Yoder,1530
Kay Hansen,166
Randa Markos,1756
Brendan Allen,168
Geraldo de Freitas,169
Alex Morono,1634
Abdul Razak Alhassan,2263
Paul Felder,2024
Don'Tale Mayes,1881
Alexandr Romanov,174
Claudia Gadelha,2450
Darren Elkins,2153
Giga Chikadze,2009
Raoni Barcelos,2204
Gustavo Lopez,1515
Max Griffin,1521
Chris Gruetzemacher,2241
Maurice Greene,1847
Sean Strickland,1682
Bobby Green,1807
Uriah Hall,2306
Bryce Mitchell,2212
Cole Williams,2042
Miles Johns,2017
Jacob Malkoun,189
Alexander Volkov,1588
Magomed Ankalaev,1560
Stefan Struve,2201
Robert Whittaker,2329
Lauren Murphy,1858
Khabib Nurmagomedov,2709
Nathaniel Wood,1921
Joel Alvarez,1819
Liana Jojua,1835
Da-Un Jung,199
Alex Oliveira,2007
Thomas Almeida,2323
Jimmy Crute,2016
Mateusz Gamrot,203
Junyong Park,204
Claudio Silva,2106
Brian Ortega,2138
Gadzhimurad Antigulov,1813
Said Nurmagomedov,1947
Jamie Mullarkey,2003
Tom Breese,1608
Chris Daukaus,1562
Markus Perez,1617
Ben Rothwell,1958
Youssef Zalal,1593
Tom Aspinall,1567
Edson Barboza,1877
Impa Kasanganay,1782
Ali AlQaisi,1802
Tracy Cortez,1967
Dequan Townsend,1922
Germaine de Randamie,1950
Kyler Phillips,1539
Holly Holm,2059
Yorgan De Castro,1891
Jordan Williams,225
Loma Lookboonmee,226
Casey Kenney,1538
Luigi Vendramini,2169
Israel Adesanya,1541
Kai Kara-France,1548
Shane Young,2214
Diego Sanchez,2287
Brad Riddell,233
Dominick Reyes,1927
Hakeem Dawodu,1979
William Knight,236
Khadis Ibragimov,1823
Juan Espino,238
Johnny Walker,1977
Mirsad Bektic,2055
Colby Covington,1953
Jordan Espinosa,1546
Khamzat Chimaev,1830
Donald Cerrone,1888
Jessica-Rose Clark,2266
Darrick Minner,1563
Journey Newson,1928
Mayra Bueno Silva,1554
Tyson Nam,1610
Roosevelt Roberts,1851
Billy Quarantillo,1646
Julia Avila,252
Michelle Waterson,1887
Ed Herman,1970
Ottman Azaitar,255
Brok Weaver,1874
Bryan Barberena,2117
Sabina Mazo,1559
Brian Kelleher,1578
Viviane Araujo,1611
Andre Muniz,1964
Cole Smith,2088
Alessio Di Chirico,1624
Ricardo Lamas,2464
Robbie Lawler,2040
Ji Yeon Kim,2005
Mallory Martin,1580
Carlton Minus,1640
Marcin Prachnio,1605
Amanda Lemos,1547
Mariya Agapova,271
Austin Hubbard,1904
Herbert Burns,1870
Felice Herrig,2165
Sean O'Malley,1864
John Dodson,2178
Stipe Miocic,2031
TJ Brown,1910
Jim Miller,2294
Kai Kamaka,1658
Tim Means,1674
Derrick Lewis,1565
Yana Kunitskaya,1569
Beneil Dariush,1589
Irwin Rivera,1764
Joanne Calderwood,1599
Johnny Munoz,287
Frankie Saenz,2101
Jamall Emmers,1905
Vicente Luque,1975
Chris Gutierrez,1583
Lando Vannata,2010
Francisco Trinaldo,2049
Carla Esparza,2217
Paul Craig,1673
Fabricio Werdum,1889
Nicolas Dalby,1676
Tanner Boser,1688
Movsar Evloev,1606
Ramazan Emeev,1623
Bethe Correia,2015
Joe Duffy,2104
Marc Diakiese,2200
Grant Dawson,1520
Ariane Lipski,1670
Malcolm Gordon,1666
Brett Johns,2190
Davi Ramos,2022
Modestas Bukauskas,1718
John Phillips,1720
Ricardo Ramos,2293
Jimmie Rivera,1557
Calvin Kattar,1626
Diana Belbita,1986
Jack Shore,315
Jessica Andrade,1716
Makwan Amirkhani,1733
Volkan Oezdemir,2262
Elizeu Zaleski dos Santos,2026
Alexander Volkanovski,1951
Amanda Ribas,1603
Raulian Paiva,1923
Luis Pena,1995
Philipe Lins,1884
Sean Woodson,1991
Takashi Sato,1659
Jordan Griffin,2020
Marc-Andre Barriault,1946
Clay Guida,1587
Josh Emmett,2268
Raquel Pennington,1938
Frank Camacho,2079
Andre Fili,1702
Merab Dvalishvili,1792
Karl Roberson,1973
Anthony Ivy,1772
Cody Stamann,1832
Raphael Assuncao,2446
Aljamain Sterling,1540
Neil Magny,1613
Ian Heinisch,1579
Charles Byrd,2113
Evan Dunham,2167
Alonzo Menifield,1774
Jussier Formiga,2164
Blagoy Ivanov,1978
Jamahal Hill,1654
Tyron Woodley,1755
Anthony Hernandez,1581
Matt Brown,1622
Rodrigo Nascimento,1728
Hunter Azure,1778
Chase Sherman,2168
Jeremy Stephens,1989
Francis Ngannou,2149
Henry Cejudo,2191
Greg Hardy,1635
Ryan Spann,1526
Demian Maia,2320
Kevin Lee,2081
Veronica Macedo,2422
Zhang Weili,2028
Mark Madsen,363
Batgerel Danaa,2030
Gerald Meerschaert,1758
Ion Cutelaba,1707
Felicia Spencer,1867
Gabriel Silva,2051
Megan Anderson,1544
Aalon Cruz,1549
Jalin Turner,1771
Karolina Kowalkiewicz,2179
Ben Sosoli,1985
Kevin Aguilar,1862
Jake Matthews,1551
Callan Potter,376
Priscila Cachoeira,2085
Corey Anderson,2130
Devin Clark,1661
Mark De La Rosa,1861
Macy Chiasson,1519
Juan Adams,2050
Jon Jones,2322
Domingo Pilarte,384
Austin Lingo,1628
Justine Kish,1773
Bevon Lewis,1694
Rafael Dos Anjos,1685
Arnold Allen,2061
Sara McMann,1598
Hannah Cifers,1784
Conor McGregor,1600
Drew Dober,1545
Aleksa Camur,1753
Dooho Choi,2265
Frankie Edgar,1590
Kyung Ho Kang,2121
Ciryl Gane,1553
Dong Hyun Ma,2038
Miranda Granger,1679
Heili Alateng,1745
Geoff Neal,1632
Aspen Ladd,2057
Rob Font,1629
Thiago Alves,2173
Joe Solecki,1790
Virna Jandiroba,1643
Makhmud Muradov,1597
Sergio Moraes,2084
Charles Oliveira,1644
Antonio Arroyo,1631
Douglas Silva de Andrade,1614
Vanessa Melo,1627
Shamil Gamzatov,414
Zelim Imadaev,1775
Rustam Khabilov,2388
Zabit Magomedsharipov,2110
Abubakar Nurmagomedov,418
Roman Kopylov,419
Alexander Yakovlev,1712
Grigory Popov,2074
Jorge Masvidal,1844
Shane Burgos,1854
Julio Arce,2264
Lyman Good,1853
Enrique Barzola,1897
Muslim Salikhov,1841
Alex White,2181
Raphael Pessoa,1816
Joe Lauzon,2447
Yair Rodriguez,2154
Randy Costa,1762
Kyle Bochniak,2135
Daniel Spitz,2221
Court McGee,1739
Matt Frevola,1602
Joanna Jedrzejczyk,1902
Niko Price,1759
Marlon Vera,1633
Marvin Vettori,1656
JJ Aldrich,1534
Justin Tafa,1621
Al Iaquinta,2132
Luke Jumeau,2301
Khalid Taha,1693
Nadia Kassem,2120
Michal Oleksiejczuk,1913
Alen Amedovski,2093
Gunnar Nelson,2107
Siyar Bahadurzada,2131
Brandon Davis,2032
Martin Bravo,2210
Jose Quinonez,1652
Ariane Carnelossi,454
Marco Polo Reyes,2063
Irene Aldana,1743
Vinicius Moreira,1612
Claudio Puelles,2402
Sergio Pettis,2133
Glover Teixeira,1687
Todd Duffee,2566
Kyle Prepolec,2087
Chas Skelly,2493
Brad Katona,2206
Zubaira Tukhugov,1752
Mairbek Taisumov,2717
Don Madge,2163
Nordine Taleb,2224
Li Jingliang,1625
Damir Ismagulov,2141
Yoel Romero,1901
Daniel Cormier,1793
Manny Bermudez,1987
Eduardo Garagorri,1691
Gilbert Burns,1577
Kazula Vargas,1919
Joaquim Silva,2134
Scott Holtzman,1800
Darko Stosic,1932
Mickey Gall,1848
Cristiane Justino,481
Olivier Aubin-Mercier,2196
Erik Koch,2336
James Vick,1996
Sam Alvey,1714
Ray Borg,1882
Urijah Faber,1952
Pingyuan Liu,1944
Benito Lopez,2275
Gilbert Melendez,2309
Edmen Shahbazyan,1806
Alejandro Perez,2112
Ismail Naurdiev,1911
Emily Whitmire,1785
Andrea Lee,1768
Allen Crowder,2127
Tatiana Suarez,2180
Yan Xiaonan,1690
Stevie Ray,1981
Tonya Evinger,2166
Damir Hadzovic,1893
Alexander Gustafsson,1814
Daniel Teymur,1955
Rostem Akman,2002
Jimi Manuwa,2409
Nick Hein,2228
Bea Malecki,1899
Desmond Green,2097
Antonio Carlos Junior,1601
Zak Cummings,1780
Michael Trizano,511
Danny Roberts,1968
Patrick Cummins,2160
Jared Cannonier,1709
Rogerio Nogueira,1810
Thiago Moises,1556
Rose Namajunas,1838
BJ Penn,2380
Luana Carolina,1824
Talita Bernardo,2162
Walt Harris,1706
Kyle Nelson,1766
Arjan Bhullar,2311
Mitch Gagnon,2636
John Lineker,2383
Jacare Souza,1642
Ben Saunders,1954
Krzysztof Jotko,1878
Sergei Pavlovich,1983
Sultan Aliev,2230
Magomed Mustafaev,1914
Curtis Millender,2108
Wilson Reis,2307
Boston Salmon,1990
Lauren Mueller,2001
Ross Pearson,2198
Sodiq Yusuff,1940
David Branch,2304
Alex Perez,1672
John Makdessi,1896
Eric Shelton,2156
Ryan MacDonald,2019
Jack Marshman,1699
Darren Till,1809
Danny Henry,1839
Nicolae Negumereanu,546
Mike Grundy,1817
Tim Boetsch,2372
Anthony Rocco Martin,1868
Cody Garbrandt,1866
Dwight Grant,1787
Liz Carmouche,2036
Michel Prazeres,2225
Aleksandra Albu,1984
Renan Barao,1966
Wuliji Buren,2192
Teruto Ishihara,2333
Mara Romero Borella,1763
Junior Albini,2064
Bibulatov Magomed,2297
Gregor Gillespie,1974
Paige VanZant,1845
Dennis Bermudez,2645
Kyle Stewart,2047
Chad Mendes,2202
Cat Zingano,2614
Ilir Latifi,1926
Zak Ottow,2109
Trevor Smith,1962
Adam Milstead,2248
Chris de la Rocha,2220
Elias Theodorou,2086
Chad Laprise,2226
Mark Hunt,2341
Suman Mokhtarian,1943
Yushin Okami,2238
Alex Gorgees,577
Keita Nakamura,2095
Elias Garcia,2205
Mizuto Hirota,2255
Darren Stewart,1529
Rick Glenn,2203
Pannie Kianzad,1630
Julija Stoliarenko,1799
Hu Yaozong,2281
Guido Cannetti,1906
Cynthia Calvillo,1669
Cezar Ferreira,2054
Devin Powell,589
Humberto Bandenay,2034
Nad Narimani,1821
Laureano Staropoli,1796
Chan Sung Jung,1723
Joseph Morales,2257
Jason Knight,2321
Chris Weidman,1801
Adam Wieczorek,2240
Alex Garcia,2233
Thibault Gouti,2252
Andre Soukhamthath,2027
Te Edwards,2128
Lina Lansberg,1936
Ryan LaFlare,2606
Gray Maynard,2935
Luis Henrique,2367
Augusto Sakai,1779
Thales Leites,2497
Aleksei Kunchenko,1894
Khalid Murtazaliev,609
Adam Yandiev,610
Robert Sanchez,2318
John Moraga,2236
James Krause,1722
Jake Ellenberger,2437
Justin Gaethje,1711
TJ Dillashaw,2125
Demetrious Johnson,2857
Matt Sayles,1961
Danielle Taylor,2349
Kajan Johnson,2172
Eddie Alvarez,2455
Jordan Mein,2674
Dustin Ortiz,2126
Emil Meek,1915
Vitor Miranda,2466
Davey Grant,1531
Justin Ledet,1703
Jeremy Kimball,2337
Damian Stasiak,2345
Myles Jury,2115
Randy Brown,1805
Sage Northcutt,2541
Kurt Holobaugh,2083
Justin Scoggins,2398
Jessica Aguilar,2098
Gokhan Saki,636
Jamie Moyle,2343
Jay Cucciniello,638
John Gunther,2157
Matt Bessette,640
Tyler Diamond,641
Felipe Arantes,2404
Rolando Dy,2282
Shinsho Anzai,2680
Viviane Pereira,2288
Jenel Lausa,2396
CM Punk,647
Rashad Coulter,2148
Rashad Evans,2316
Mike Santiago,2267
Jarred Brooks,2183
Johnny Eduardo,2522
Eric Spicely,2068
Daniel Kelly,2283
Brad Scott,2592
Alexa Grasso,1574
Diego Rivas,2319
Poliana Botelho,1721
Henry Briones,2571
Vitor Belfort,2471
Alberto Mina,2458
Justin Willis,2102
Matthew Lopez,2137
Dhiego Lima,1575
Bec Rawlings,2376
Tom Duquesnoy,2353
Mark Godbeer,2291
Mike Pyle,2774
CB Dollaway,2174
Bryan Caraway,2143
Jordan Johnson,2175
Maryna Moroz,1898
Albert Morales,2327
Steven Peterson,2012
Oskar Piechota,1852
Joshua Burkman,2366
Rob Wilkinson,2312
Tyson Pedro,2140
Damien Brown,2439
Timothy Johnson,2363
Alan Patrick,1765
Lyoto Machida,2229
Maia Stevenson,683
Iuri Alcantara,2184
Jordan Rinaldi,2105
Vinc Pichel,1794
Austin Arnett,2119
Sabah Homasi,2430
Mads Burnell,2223
Kalindra Faria,2187
Julian Marquez,1576
Carls John De Tomas,2339
Antonio Braga Neto,2697
David Teymur,2122
Amanda Cooper,2155
Barb Honchak,2209
Christina Marks,697
DeAnna Bennett,698
Nicco Montano,2056
Joe Soto,2256
Ariel Beck,701
Karine Gevorgyan,702
Michael Bisping,2463
Kailin Curran,2440
Wang Guan,705
Cyril Asker,2254
Ryan Benoit,1834
Anthony Hamilton,2389
Alex Chambers,2171
Nate Marquardt,2342
Jake Collier,1653
Johny Hendricks,2335
Hacran Dias,2481
Marcelo Golm,2094
Artem Lobov,2161
Marcin Held,2378
Salim Touahri,2043
Pearl Gonzalez,2361
Takanori Gomi,2449
Syuri Kondo,2066
Daichi Abe,2213
Hector Lombard,2170
Luke Rockhold,2062
Jason Saggo,724
Mitch Clarke,2456
Francimar Barroso,2261
Bojan Mihajlovic,2441
Alvaro Herrera Mendoza,2197
Damian Grabowski,2438
Rafael Natal,2477
Frankie Perez,2550
James Mulheron,732
Charlie Ward,733
Leslie Smith,2470
Daniel Omielanczuk,2411
Travis Browne,2369
Joachim Christensen,2381
Josh Stansbury,2453
Dong Hyun Kim,2676
Tarec Saffiedine,2382
Naoki Inoue,2215
Kwan Ho Kwak,2401
Kiichi Kunimoto,2622
Paulo Costa,1748
Erick Silva,2273
Marco Beltran,2298
Luan Chagas,2234
Oliver Enkamp,2243
Nicholas Musoke,2696
Reza Madadi,2364
Peter Sobotta,1808
Hector Sandoval,2315
Jessica Penne,2575
Patrick Williams,2239
Will Brooks,2286
Brad Pickett,2385
Rony Jason,2433
Garreth McLellan,2473
Sam Sicilia,2416
Anderson Silva,1701
Abel Trujillo,2272
Daniel Jolly,2551
Henrique da Silva,2300
Bobby Nash,2279
Marcos Rogerio de Lima,1689
Jason Gonzalez,2092
Dmitrii Smoliakov,2089
Jocelyn Jones-Lybarger,2462
Brandon Thatch,2569
James Moontasri,2442
Cole Miller,2624
Bojan Velickovic,2284
Valerie Letourneau,2530
Tim Kennedy,2713
Zach Makovsky,2504
Joseph Gigliotti,2432
Tiago dos Santos e Silva,2548
Juliana Lima,2260
Keith Berish,2691
Elvis Mutapcic,2465
Kyle Noke,2712
Yusuke Kasuya,2543
Seo Hee Ham,2485
Richard Walsh,2616
Ben Nguyen,2139
Yao Zhikui,2588
Ryan Bader,2506
Magnus Cedenblad,2767
Kyoji Horiguchi,2593
Anna Elmose,2472
Gegard Mousasi,2358
Miesha Tate,2492
Erik Perez,2436
Erick Montano,794
Lukasz Sajewski,2460
Shamil Abdurakhimov,2021
Cody East,2478
Jonathan Wilson,2296
Kelly Faszholz,2501
Godofredo Pepey,2259
Roy Nelson,2355
Glaico Franca Moreira,802
Chris Wade,2325
Roan Carneiro,2374
Augusto Montano,805
Yancy Medeiros,1918
Taylor Lapilus,2527
Jessin Ayari,1746
Jarjis Danho,2499
Scott Askham,2365
Shane Campbell,2469
Jeremy Kennedy,2253
Rick Story,2467
Hyun Gyu Lim,2302
Anthony Johnson,2362
Nate Diaz,1976
Alberto Uda,2468
Viktor Pesta,2379
Francisco Rivera,2642
Michael Graves,2480
Cesar Arzamendia,821
Jim Alers,2515
Michael McDonald,2741
Cain Velasquez,2116
Brock Lesnar,3177
Cory Hendricks,826
Russell Doane,2250
Anthony Birchak,1695
Tamdan McCrory,2412
Rory MacDonald,2570
Steve Bosse,2486
Chris Beal,2553
Ali Bagautinov,2399
Dan Henderson,2410
Kevin Casey,2427
Chris Camozzi,2347
Antonio Silva,2413
Albert Tumenov,2408
Jon Tuck,2189
Yan Cabral,840
Yuta Sasaki,2151
Efrain Escudero,2670
Oluwale Bamgbose,2271
Igor Pokrajac,2637
Ian Entwistle,2639
Filip Pejic,846
Robert Whiteford,2539
James Te Huna,2747
Brendan O'Reilly,2392
Julian Erosa,1572
Mike Wilkinson,2661
Norman Parke,2583
Teemu Packalen,2025
Daniel Sarafian,2753
Jonavin Webb,2591
Noad Lahat,2576
Josh Barnett,2425
Matt Dwyer,2565
George Sullivan,2188
Damon Jackson,1651
Maximo Blanco,2417
Patrick Cote,2360
Diego Brandao,2542
Lorenz Larkin,2431
Sheldon Westcott,2600
Josh Samman,2443
Sarah Kaufman,2595
Hayder Hassan,2568
Joe Proctor,2352
Tatsuya Kawajiri,2435
Gabriel Gonzaga,2482
Joby Sanchez,2158
Dongi Yang,2888
Yoshihiro Akiyama,2954
Tae Hyun Bang,2424
Benson Henderson,2629
Yui Chul Nam,2587
Dominique Steele,2340
Guangyou Ning,2394
Horacio Gutierrez,2434
Hector Urbina,2414
Valmir Lazaro,2615
Vernon Ramos Ho,883
Anthony Perosh,2746
Ronda Rousey,2384
Richie Vaculik,886
Fabio Maldonado,2594
Gleison Tibau,2222
Edimilson Souza,2765
Viscardi Andrade,2489
Bruno Rodrigues,891
Aisling Daly,2598
Neil Seery,2326
Cathal Pendred,2579
Paddy Holohan,895
Bubba Bush,2694
Adriano Martins,2310
Shawn Jordan,2724
Francisco Trevino,2718
Chris Cariaso,2664
Katsunori Kikuno,2607
Takeya Mizugaki,2386
Naoyuki Kotani,2656
Joe Riggs,2500
Clay Collard,2578
Sam Stout,2611
Yves Jabouin,2728
Chris Kelades,2476
Jared Rosholt,2505
Chris Dempsey,2495
Anthony Christodoulou,2628
Reginaldo Vieira,2371
Rafael Cavalcante,2503
Hugo Viana,2730
Kenny Robertson,2415
Daron Cruickshank,2511
Jessamyn Duke,917
Ramsey Nijem,918
Mickael Lebout,2538
Marcus Brimage,2654
Josh Thomson,2729
Scott Jorgensen,2528
Frank Mir,2484
Andrew Craig,2695
Igor Araujo,2758
Angela Magana,2276
Darrell Montague,2706
Dan Miller,2947
Mike Swick,3044
Yosdenis Cedeno,2658
Steve Montgomery,2532
Leandro Silva,2426
Danny Martinez,2531
Dennis Siver,2334
Alan Omer,935
Niklas Backstrom,2705
Piotr Hallmann,2534
Thiago Tavares,2451
Brian Ebersole,2665
Ricardo Abreu,940
Wendell Oliveira Marques,2668
KJ Noons,2502
Luiz Dutra,2733
Lucas Martins,2483
Mark Eddiva,2487
Zhang Lipeng,2722
Mark Munoz,2754
Phillipe Nover,2373
Roldan Sangcha'an,2698
Nolan Ticman,950
Hatsu Hioki,2772
Dylan Andrews,952
Alptekin Ozkilic,2685
Vik Grujic,2699
Quinton Jackson,2939
Jessica Rakoczy,2748
Eddie Gordon,2572
Pawel Pawlak,2559
Bartosz Fabinski,1777
Seth Baczynski,2708
Izabela Badurek,961
Marcin Bandel,2662
Ron Stallings,2547
Leonardo Mafra,2562
Jorge de Oliveira,2649
Bentley Syler,966
Jake Lindsey,2657
Larissa Pacheco,2669
Roman Salazar,2556
Masio Fullen,2507
William Macario,971
Ivan Jorge,2560
Ian McCall,2683
Richardson Moreira,2704
Andy Ogle,2726
Akira Corassani,2714
Phil Davis,2655
John Howard,2523
Johnny Case,2338
Matt Van Buren,2689
Tateki Matsuda,2673
Danny Castillo,2516
Alexis Dufresne,2692
Tom Niinimaki,2675
Elias Silverio,2552
Leandro Issa,2423
Marcio Alexandre Junior,2517
Jamie Varner,2831
David Michaud,2596
Joe Ellenberger,990
Emily Kagan,2525
Luke Barnatt,2586
Ruslan Magomedov,2540
Yves Edwards,2916
Juan Manuel Puig,2688
Edgar Garcia,2514
Caio Magalhaes,2420
Wagner Silva,2703
Soa Palelei,2558
Jumabieke Tuerxun,1000
Luke Zachrich,2711
Fabricio Camoes,2738
Tor Troeng,2763
Manvel Gamburyan,2397
Michinori Tanaka,2375
Kazuki Tokudome,2780
Paulo Thiago,2848
Matt Mitrione,2510
Sean Soriano,2631
Ruan Potts,2617
Francis Carmont,2727
Aaron Phillips,1836
Roland Delorme,1013
Anying Wang,2720
Sai Wang,1015
Elizabeth Phillips,2429
Tom Watson,2554
Mike de la Torre,2359
Hernani Perpetuo,2710
Kyle Kingsbury,2921
Akbarh Arreola,2529
Andreas Stahl,2524
Steven Siler,2716
Cody Donovan,2842
Justin Salas,2494
Jesse Ronson,1815
Patrick Walsh,2623
Robert Drysdale,1028
George Roop,2545
Colton Smith,1030
Johnny Bedford,2672
Marcelo Guimaraes,2490
Clint Hester,2479
Chris Indich,2715
Bobby Voelker,2739
Yaotzin Meza,2496
Rodrigo Damm,2634
Vaughan Lee,2561
Chris Holdsworth,1039
Anthony Njokuani,2659
Constantinos Philippou,2585
Anthony Lapsley,2751
Estevan Payan,2740
Ryan Jimmo,2582
Mark Bocek,3032
Antonio Rodrigo Nogueira,2557
Ronny Markes,2902
Thiago Perpetuo,1048
Jake Shields,2760
Robert McDaniel,2771
Will Campuzano,1051
Sean Spencer,2421
Daniel Pineda,1647
Renee Forte,2762
Cyrille Diabate,2819
Phil Harris,2682
Albert Cheng,1057
Nam Phan,2745
Cody Gibson,2619
Rafaello Oliveira,2783
Ernest Chavez,2663
Cristiano Marcello,1062
Ildemar Alcantara,2567
Nick Catone,2834
Chico Camus,2544
Ramiro Hernandez,2764
Isaac Vallie-Flagg,2644
Charlie Brenneman,2648
Royston Wee,2589
Dustin Kimura,2640
Chris Leben,2955
Robert Peralta,2603
Darren Uyenoyama,2799
Nick Ring,2866
Pat Barry,2959
Julie Kedzie,1076
Ben Wall,2707
Bruno Santos,2660
Josh Sampo,2584
Josh Koscheck,2608
Georges St-Pierre,2292
Jason High,2702
Jose Maria,2775
Alessio Sakara,2845
Jimy Hettes,2599
Rosi Sexton,2784
TJ Waldburger,2725
Jeremy Larsen,2793
Dustin Pague,2785
George Sotiropoulos,1090
Rousimar Palhares,2841
Thiago Silva,2895
Iliarde Santos,2777
Pat Healy,2686
Ivan Menjivar,2721
Mike Ricci,2833
Chris Clements,2597
Brendan Schaub,2641
Nandor Guelmino,1099
Marcos Vinicius,2836
Joao Zeferino,2791
Keith Wisniewski,2938
Yuri Villefort,2818
Louis Gaudinot,2632
Pascal Krauss,2826
Ryan Couture,1106
Jared Hamman,2950
Justin Edwards,2581
James Head,2837
Roger Bowling,2743
Mike Brown,2983
Vinny Magalhaes,2796
Ednaldo Oliveira,2910
Mac Danzig,2742
John Albert,2844
Aaron Riley,2940
Mike Pierce,2519
Sean Pierson,2881
Brian Bowles,2923
Leonard Garcia,2972
Clifford Starks,2903
Justin Lawrence,1122
Bristol Marunde,2778
Chris Spang,1124
Ben Alloway,2773
Michael Kuiper,2755
Papy Abedi,2768
Antonio Carvalho,2913
Riki Fukuda,2870
Wanderlei Silva,3084
Nah-Shon Burrell,2790
Jon Manley,1132
Paul Sass,2885
Terry Etim,2911
Che Mills,2891
Jon Fitch,2976
Jacob Volkmann,3015
Edwin Figueroa,2752
Mike Stumpf,2946
TJ Grant,2789
Mike Russow,2873
Simeon Thoresen,2858
Diego Nunes,2855
Wagner Prado,2851
Melvin Guillard,2719
Philip De Fries,2804
Reuben Duran,2810
Jared Papazian,2878
Mike Rio,2731
Colin Fletcher,2808
Brendan Loughnane,1151
Nick Penner,2898
Marcus LeVesseur,2886
Mark Hominick,2965
Matthew Riddle,2821
Yasuhiro Urushitani,2897
Rich Franklin,2872
Zhang Tiequan,1158
Luiz Cane,3057
Josh Neer,2813
Aaron Simpson,2956
Bart Palaszewski,2803
Dan Hardy,2971
John Hathaway,2723
DaMarques Johnson,2864
Jason Young,2931
Matt Hamill,2759
Ken Stone,2964
Josh Grispi,2822
Cheick Kongo,2797
Damacio Page,2894
Karlos Vemola,2788
Cung Le,2677
Forrest Griffin,2948
John Alessio,2892
John Teixeira,1176
Delson Heleno,1177
Anistavio Medeiros,1178
Buddy Roberts,2861
Henry Martinez,2843
Jake Hecht,2900
