nombre,weight_class,Genre,Height_cms,Reach_cms,Weight_lbs,ID_peleador
Pedro Rizzo,Peso_Pactado,Male,185.42,190.13,241.0,3318
Keith Rockel,Middleweight,Male,182.88,187.08,185.0,3340
Falaniko Vitale,Middleweight,Male,177.8,182.42,185.0,3303
Kimo Leopoldo,Error,Male,190.5,195.59,235.0,3297
Vernon White,Light heavyweight,Male,182.88,187.08,205.0,3295
Vernon White,Error,Male,182.88,187.08,205.0,3295
Dave Strasser,Welterweight,Male,177.8,182.42,170.0,3310
Gan McGee,Heavyweight,Male,208.28,0.0,265.0,3308
Gan McGee,Peso_Pactado,Male,208.28,0.0,265.0,3308
Gan McGee,Error,Male,208.28,0.0,265.0,3308
Carlos Newton,Welterweight,Male,175.26,180.12,170.0,3302
Carlos Newton,Peso_Pactado,Male,175.26,180.12,170.0,3302
Carlos Newton,Error,Male,175.26,180.12,170.0,3302
Phillip Miller,Middleweight,Male,180.34,184.97,185.0,1418
Phillip Miller,Error,Male,180.34,184.97,185.0,1418
Ricco Rodriguez,Error,Male,193.04,199.98,265.0,3306
Ricco Rodriguez,Heavyweight,Male,193.04,199.98,265.0,3306
Ricco Rodriguez,Peso_Pactado,Male,193.04,199.98,265.0,3306
Ian Freeman,Error,Male,180.34,184.97,225.0,3311
Ian Freeman,Peso_Pactado,Male,180.34,184.97,225.0,3311
Ian Freeman,Heavyweight,Male,180.34,184.97,225.0,3311
Mark Weir,Middleweight,Male,187.96,192.54,185.0,3314
Tony Fryklund,Middleweight,Male,182.88,187.08,185.0,3291
Tony Fryklund,Peso_Pactado,Male,182.88,187.08,185.0,3291
Tony Fryklund,Error,Male,182.88,187.08,185.0,3291
Benji Radach,Error,Male,177.8,182.42,185.0,3321
Benji Radach,Peso_Pactado,Male,177.8,182.42,185.0,3321
Murilo Bustamante,Error,Male,187.96,192.54,183.0,3345
Murilo Bustamante,Peso_Pactado,Male,187.96,192.54,183.0,3345
Eugene Jackson,Middleweight,Male,172.72,177.39,185.0,3323
Eugene Jackson,Error,Male,172.72,177.39,185.0,3323
Eugene Jackson,Peso_Pactado,Male,172.72,177.39,185.0,3323
Gil Castillo,Welterweight,Male,175.26,180.12,170.0,3320
