,R_KD,B_KD,R_SIG_STR_pct,B_SIG_STR_pct,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_REV,B_REV,R_CTRL,B_CTRL,Height_Red,Weight_Red,Stance_Red,SLpM_Red,Str_Acc_Red,SApM_Red,Str_Def_Red,TD_Avg_Red,TD_Acc_Red,TD_Def_Red,Sub_Avg_Red,Height_Blue,Weight_Blue,Stance_Blue,SLpM_Blue,Str_Acc_Blue,SApM_Blue,Str_Def_Blue,TD_Avg_Blue,TD_Acc_Blue,TD_Def_Blue,Sub_Avg_Blue,winner_color,R_SIG_STRIKE_LANDED,R_SIG_STRIKE_TOTAL,B_SIG_STRIKE_LANDED,B_SIG_STRIKE_TOTAL,R_TOTAL_STRIKE_LANDED,R_TOTAL_STRIKE_TOTAL,B_TOTAL_STRIKE_LANDED,B_TOTAL_STRIKE_TOTAL,R_TD_STRIKE_LANDED,R_TD_STRIKE_TOTAL,B_TD_STRIKE_LANDED,B_TD_STRIKE_TOTAL,R_HEAD_LANDED,R_HEAD_TOTAL,B_HEAD_LANDED,B_HEAD_TOTAL,R_BODY_LANDED,R_BODY_TOTAL,B_BODY_LANDED,B_BODY_TOTAL,R_LEG_LANDED,R_LEG_TOTAL,B_LEG_LANDED,B_LEG_TOTAL,R_DISTANCE_LANDED,R_DISTANCE_TOTAL,B_DISTANCE_LANDED,B_DISTANCE_TOTAL,R_CLINCH_LANDED,R_CLINCH_TOTAL,B_CLINCH_LANDED,B_CLINCH_TOTAL,R_GROUND_LANDED,R_GROUND_TOTAL,B_GROUND_LANDED,B_GROUND_TOTAL,weightclass,titlebout
672,0,0,13,35,0,100,0,0,0,0,2,106,64,115,Orthodox,3.74,38,3.81,61,0.28,5,0,2.2,63,125,Orthodox,4.25,44,1.78,71,2.31,58,85,1.6,0,20,145,74,206,50,175,84,216,0,6,2,2,16,135,40,163,3,8,21,28,1,2,13,15,19,144,72,203,0,0,0,0,1,1,2,3,womens strawweight,0
673,2,0,62,36,100,0,0,0,0,0,116,0,72,145,Orthodox,6.24,53,6.76,57,1.39,33,69,0.0,73,155,Orthodox,3.97,37,6.45,37,0.5,33,33,0.0,1,139,222,88,242,141,224,89,243,2,2,0,2,96,166,45,189,32,40,18,23,11,16,25,30,98,173,80,229,17,18,8,11,24,31,0,2,lightweight,0
674,0,0,46,43,0,0,0,0,0,0,36,4,68,145,Orthodox,4.64,50,3.64,60,1.09,51,60,0.5,69,145,Southpaw,5.15,41,8.13,53,0.88,25,0,0.9,1,135,288,86,200,143,296,109,225,0,0,0,2,84,215,73,177,40,58,4,8,11,15,9,15,110,252,74,182,24,34,11,16,1,2,1,2,featherweight,0
675,0,0,43,42,57,50,0,2,0,3,173,65,69,155,Orthodox,2.73,37,3.44,58,2.59,37,40,1.1,75,155,Southpaw,3.26,47,2.74,50,1.37,33,45,1.4,1,48,110,51,120,51,115,60,129,4,7,1,2,27,82,43,104,10,17,7,15,11,11,1,1,46,105,37,101,2,5,8,10,0,0,6,9,lightweight,0
676,0,0,35,35,0,0,0,0,0,0,9,0,73,185,Southpaw,3.23,46,4.15,51,1.62,35,80,0.1,73,185,Southpaw,3.3,42,3.61,51,2.33,43,46,1.7,1,64,178,72,202,64,178,72,202,0,0,0,1,31,132,56,185,14,22,13,14,19,24,3,3,61,173,71,201,2,2,1,1,1,3,0,0,middleweight,0
677,0,0,60,36,60,11,1,1,0,0,333,299,66,115,Orthodox,6.3,48,3.08,64,0.28,62,81,0.1,63,115,Orthodox,3.58,49,4.0,49,1.52,34,67,0.9,1,180,300,58,160,226,347,71,174,3,5,1,9,48,136,25,84,54,74,12,40,78,90,21,36,132,246,44,141,48,54,14,19,0,0,0,0,womens strawweight,0
678,1,0,50,50,0,0,0,0,0,0,47,13,72,170,Orthodox,5.33,41,5.83,49,0.89,22,72,0.9,75,155,Orthodox,4.13,39,3.31,60,0.26,33,57,0.7,1,11,22,9,18,15,28,10,19,0,1,0,0,10,21,6,15,0,0,1,1,1,1,2,2,2,9,5,11,0,0,0,0,9,13,4,7,welterweight,0
679,0,1,45,31,80,0,0,0,0,0,155,26,71,170,Orthodox,4.14,48,3.94,56,1.7,51,66,0.5,71,170,Orthodox,4.96,42,3.69,56,0.44,28,47,0.4,0,75,166,81,255,94,189,87,261,4,5,0,1,37,115,60,229,33,45,11,15,5,6,10,11,69,156,68,237,5,9,12,16,1,1,1,2,welterweight,0
680,0,0,61,68,0,33,1,0,0,0,0,4,65,125,Orthodox,3.38,56,3.35,50,1.57,50,61,2.4,67,125,Southpaw,3.35,45,2.49,59,4.01,49,58,1.1,1,8,13,26,38,8,13,33,45,0,1,1,3,8,13,10,16,0,0,1,5,0,0,15,17,6,10,20,28,2,3,6,10,0,0,0,0,flyweight,0
681,0,0,60,38,0,0,2,0,0,0,72,153,68,135,Switch,3.65,49,3.95,52,0.78,37,70,1.1,68,135,Southpaw,4.42,41,4.25,52,0.29,66,70,0.1,1,80,133,50,131,87,140,67,148,0,1,0,1,41,83,38,112,19,26,11,18,20,24,1,1,51,95,49,124,15,21,1,6,14,17,0,1,bantamweight,0
